Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,datetime,date,hour,day_of_week,month,year,is_weekend,other_energy_wh
1/12/2008,09:44:00,1.502,0.074,240.17,6.4,0.0,0.0,18.0,2008-12-01 09:44:00,2008-12-01,9,0,12,2008,0,7.033333333333335
17/12/2006,23:39:00,0.374,0.264,245.5,1.8,0.0,2.0,0.0,2006-12-17 23:39:00,2006-12-17,23,6,12,2006,1,4.233333333333333
3/6/2009,17:01:00,0.62,0.3,239.85,3.0,0.0,1.0,1.0,2009-06-03 17:01:00,2009-06-03,17,2,6,2009,0,8.333333333333334
9/5/2007,05:53:00,0.28,0.2,235.72,1.4,0.0,0.0,0.0,2007-05-09 05:53:00,2007-05-09,5,2,5,2007,0,4.666666666666667
14/12/2008,02:57:00,1.372,0.054,243.95,5.6,0.0,0.0,18.0,2008-12-14 02:57:00,2008-12-14,2,6,12,2008,1,4.866666666666667
22/6/2007,16:36:00,0.284,0.254,241.54,1.6,0.0,1.0,0.0,2007-06-22 16:36:00,2007-06-22,16,4,6,2007,0,3.7333333333333334
11/8/2009,17:48:00,0.196,0.068,244.52,0.8,0.0,0.0,1.0,2009-08-11 17:48:00,2009-08-11,17,1,8,2009,0,2.2666666666666666
10/5/2008,18:46:00,2.234,0.27,239.05,9.4,0.0,0.0,29.0,2008-05-10 18:46:00,2008-05-10,18,5,5,2008,1,8.233333333333334
8/12/2009,15:25:00,0.486,0.12,249.24,2.0,0.0,2.0,0.0,2009-12-08 15:25:00,2009-12-08,15,1,12,2009,0,6.1
4/1/2010,22:31:00,1.842,0.12,245.22,7.4,0.0,0.0,19.0,2010-01-04 22:31:00,2010-01-04,22,0,1,2010,0,11.7
22/6/2010,21:20:00,0.752,0.102,242.2,3.2,1.0,0.0,1.0,2010-06-22 21:20:00,2010-06-22,21,1,6,2010,0,10.533333333333333
25/10/2010,07:51:00,2.192,0.0,238.17,9.2,0.0,0.0,18.0,2010-10-25 07:51:00,2010-10-25,7,0,10,2010,0,18.53333333333333
17/11/2009,11:55:00,1.308,0.0,242.32,5.4,0.0,0.0,19.0,2009-11-17 11:55:00,2009-11-17,11,1,11,2009,0,2.8000000000000007
5/5/2008,15:37:00,0.424,0.226,242.65,2.0,0.0,0.0,1.0,2008-05-05 15:37:00,2008-05-05,15,0,5,2008,0,6.066666666666666
18/2/2008,09:04:00,1.288,0.0,239.65,5.2,0.0,0.0,17.0,2008-02-18 09:04:00,2008-02-18,9,0,2,2008,0,4.466666666666665
31/1/2010,10:11:00,0.522,0.0,241.34,2.2,0.0,0.0,1.0,2010-01-31 10:11:00,2010-01-31,10,6,1,2010,1,7.699999999999999
18/9/2007,09:21:00,0.276,0.112,237.02,1.2,1.0,0.0,0.0,2007-09-18 09:21:00,2007-09-18,9,1,9,2007,0,3.5999999999999996
8/1/2007,11:12:00,1.432,0.248,238.36,6.0,0.0,0.0,17.0,2007-01-08 11:12:00,2007-01-08,11,0,1,2007,0,6.866666666666667
24/4/2008,08:13:00,1.288,0.0,237.54,5.4,0.0,0.0,18.0,2008-04-24 08:13:00,2008-04-24,8,3,4,2008,0,3.466666666666665
4/8/2009,18:26:00,0.314,0.246,243.17,1.6,0.0,0.0,1.0,2009-08-04 18:26:00,2009-08-04,18,1,8,2009,0,4.233333333333333
27/8/2009,01:42:00,0.708,0.388,241.67,3.6,0.0,2.0,5.0,2009-08-27 01:42:00,2009-08-27,1,3,8,2009,0,4.800000000000001
15/8/2009,11:11:00,0.478,0.366,242.97,2.4,0.0,3.0,0.0,2009-08-15 11:11:00,2009-08-15,11,5,8,2009,1,4.966666666666667
27/10/2010,13:21:00,0.596,0.0,246.63,2.6,0.0,0.0,0.0,2010-10-27 13:21:00,2010-10-27,13,2,10,2010,0,9.933333333333334
4/11/2009,20:29:00,1.378,0.048,239.1,5.6,0.0,0.0,19.0,2009-11-04 20:29:00,2009-11-04,20,2,11,2009,0,3.966666666666665
26/2/2010,13:51:00,4.762,0.55,235.53,20.4,0.0,30.0,18.0,2010-02-26 13:51:00,2010-02-26,13,4,2,2010,0,31.36666666666666
7/3/2008,13:21:00,1.762,0.464,240.54,7.6,0.0,0.0,17.0,2008-03-07 13:21:00,2008-03-07,13,4,3,2008,0,12.366666666666667
5/3/2008,11:46:00,0.322,0.112,244.36,1.4,0.0,0.0,0.0,2008-03-05 11:46:00,2008-03-05,11,2,3,2008,0,5.366666666666666
15/2/2007,22:05:00,2.832,0.06,237.45,12.0,0.0,0.0,18.0,2007-02-15 22:05:00,2007-02-15,22,3,2,2007,0,29.200000000000003
25/12/2009,22:46:00,1.538,0.078,244.82,6.2,0.0,0.0,19.0,2009-12-25 22:46:00,2009-12-25,22,4,12,2009,0,6.633333333333333
20/1/2008,14:41:00,1.47,0.0,241.01,6.2,0.0,0.0,18.0,2008-01-20 14:41:00,2008-01-20,14,6,1,2008,1,6.5
13/7/2010,03:36:00,0.27,0.122,240.1,1.2,0.0,0.0,1.0,2010-07-13 03:36:00,2010-07-13,3,1,7,2010,0,3.5
31/8/2010,00:41:00,0.308,0.052,243.29,1.6,0.0,0.0,1.0,2010-08-31 00:41:00,2010-08-31,0,1,8,2010,0,4.133333333333334
7/5/2010,07:45:00,3.412,0.076,229.35,14.8,35.0,0.0,16.0,2010-05-07 07:45:00,2010-05-07,7,4,5,2010,0,5.866666666666667
17/4/2010,03:09:00,0.964,0.428,242.78,4.4,0.0,1.0,10.0,2010-04-17 03:09:00,2010-04-17,3,5,4,2010,1,5.066666666666666
25/4/2008,23:33:00,0.346,0.114,243.9,1.4,0.0,0.0,0.0,2008-04-25 23:33:00,2008-04-25,23,4,4,2008,0,5.766666666666667
12/7/2010,20:04:00,2.642,0.214,240.17,11.0,38.0,0.0,1.0,2010-07-12 20:04:00,2010-07-12,20,0,7,2010,0,5.033333333333331
5/9/2009,08:50:00,1.342,0.086,240.27,5.6,0.0,1.0,18.0,2009-09-05 08:50:00,2009-09-05,8,5,9,2009,1,3.366666666666667
16/2/2010,22:32:00,0.492,0.0,241.13,2.0,0.0,0.0,1.0,2010-02-16 22:32:00,2010-02-16,22,1,2,2010,0,7.199999999999999
23/11/2010,18:55:00,2.856,0.088,234.34,13.2,15.0,0.0,0.0,2010-11-23 18:55:00,2010-11-23,18,1,11,2010,0,32.6
4/4/2007,21:20:00,3.614,0.094,235.91,15.4,1.0,0.0,17.0,2007-04-04 21:20:00,2007-04-04,21,2,4,2007,0,42.233333333333334
14/2/2010,17:54:00,2.03,0.126,235.36,8.6,0.0,0.0,17.0,2010-02-14 17:54:00,2010-02-14,17,6,2,2010,1,16.83333333333333
24/6/2007,11:11:00,0.206,0.098,236.79,1.0,0.0,1.0,0.0,2007-06-24 11:11:00,2007-06-24,11,6,6,2007,1,2.433333333333333
9/4/2008,09:32:00,1.442,0.11,243.24,5.8,0.0,0.0,18.0,2008-04-09 09:32:00,2008-04-09,9,2,4,2008,0,6.033333333333335
11/6/2009,10:54:00,1.49,0.094,238.53,6.2,0.0,0.0,18.0,2009-06-11 10:54:00,2009-06-11,10,3,6,2009,0,6.833333333333332
13/5/2009,17:32:00,0.304,0.0,241.45,1.4,0.0,0.0,0.0,2009-05-13 17:32:00,2009-05-13,17,2,5,2009,0,5.066666666666666
26/10/2007,17:40:00,0.394,0.0,244.92,1.8,0.0,0.0,0.0,2007-10-26 17:40:00,2007-10-26,17,4,10,2007,0,6.566666666666666
12/7/2009,15:32:00,0.306,0.246,243.91,1.6,0.0,0.0,1.0,2009-07-12 15:32:00,2009-07-12,15,6,7,2009,1,4.1
3/7/2007,14:38:00,0.4,0.302,238.44,2.0,0.0,2.0,0.0,2007-07-03 14:38:00,2007-07-03,14,1,7,2007,0,4.666666666666667
9/1/2007,08:57:00,1.348,0.0,239.77,5.6,1.0,0.0,17.0,2007-01-09 08:57:00,2007-01-09,8,1,1,2007,0,4.466666666666665
11/10/2008,17:42:00,0.54,0.074,241.94,2.2,0.0,4.0,1.0,2008-10-11 17:42:00,2008-10-11,17,5,10,2008,1,4.0
27/12/2006,22:22:00,1.232,0.0,241.84,5.0,0.0,0.0,0.0,2006-12-27 22:22:00,2006-12-27,22,2,12,2006,0,20.533333333333335
23/10/2007,20:14:00,2.438,0.0,239.78,10.0,0.0,0.0,17.0,2007-10-23 20:14:00,2007-10-23,20,1,10,2007,0,23.633333333333333
24/9/2009,00:02:00,0.288,0.24,243.54,1.4,0.0,1.0,1.0,2009-09-24 00:02:00,2009-09-24,0,3,9,2009,0,2.8
13/1/2007,01:56:00,0.34,0.208,240.53,1.6,0.0,1.0,0.0,2007-01-13 01:56:00,2007-01-13,1,5,1,2007,1,4.666666666666667
20/8/2009,21:30:00,0.206,0.094,239.46,1.0,0.0,0.0,0.0,2009-08-20 21:30:00,2009-08-20,21,3,8,2009,0,3.433333333333333
9/12/2008,06:11:00,0.32,0.09,245.84,1.4,0.0,0.0,0.0,2008-12-09 06:11:00,2008-12-09,6,1,12,2008,0,5.333333333333333
17/3/2009,07:12:00,1.596,0.0,240.87,6.6,0.0,0.0,17.0,2009-03-17 07:12:00,2009-03-17,7,1,3,2009,0,9.600000000000001
16/8/2007,01:13:00,0.442,0.23,238.75,2.0,0.0,0.0,0.0,2007-08-16 01:13:00,2007-08-16,1,3,8,2007,0,7.366666666666666
21/11/2010,16:14:00,0.392,0.196,241.64,1.8,0.0,1.0,0.0,2010-11-21 16:14:00,2010-11-21,16,6,11,2010,1,5.533333333333333
20/4/2009,09:53:00,1.66,0.054,237.56,7.0,0.0,0.0,18.0,2009-04-20 09:53:00,2009-04-20,9,0,4,2009,0,9.666666666666668
21/11/2007,07:15:00,1.778,0.216,240.62,7.4,0.0,0.0,18.0,2007-11-21 07:15:00,2007-11-21,7,2,11,2007,0,11.633333333333333
12/3/2008,01:27:00,1.394,0.094,241.44,5.8,0.0,0.0,18.0,2008-03-12 01:27:00,2008-03-12,1,2,3,2008,0,5.233333333333334
22/4/2009,02:39:00,0.358,0.098,241.97,1.6,0.0,0.0,1.0,2009-04-22 02:39:00,2009-04-22,2,2,4,2009,0,4.966666666666667
26/5/2008,17:23:00,0.444,0.156,242.51,2.0,0.0,0.0,1.0,2008-05-26 17:23:00,2008-05-26,17,0,5,2008,0,6.4
14/10/2007,04:32:00,0.334,0.092,240.76,1.4,0.0,0.0,0.0,2007-10-14 04:32:00,2007-10-14,4,6,10,2007,1,5.566666666666666
24/8/2010,10:55:00,0.268,0.072,241.14,1.2,0.0,0.0,1.0,2010-08-24 10:55:00,2010-08-24,10,1,8,2010,0,3.466666666666667
29/8/2007,00:07:00,0.212,0.116,244.46,1.0,0.0,0.0,0.0,2007-08-29 00:07:00,2007-08-29,0,2,8,2007,0,3.533333333333333
30/7/2010,23:34:00,0.252,0.112,238.68,1.2,0.0,0.0,1.0,2010-07-30 23:34:00,2010-07-30,23,4,7,2010,0,3.2
16/2/2008,22:44:00,2.634,0.09,239.77,11.0,0.0,0.0,17.0,2008-02-16 22:44:00,2008-02-16,22,5,2,2008,1,26.9
4/12/2007,07:02:00,2.29,0.0,237.56,9.6,0.0,0.0,17.0,2007-12-04 07:02:00,2007-12-04,7,1,12,2007,0,21.166666666666664
26/6/2009,01:54:00,0.282,0.188,237.97,1.4,0.0,2.0,1.0,2009-06-26 01:54:00,2009-06-26,1,4,6,2009,0,1.7000000000000002
12/4/2009,21:21:00,6.028,0.5,232.79,26.0,43.0,1.0,17.0,2009-04-12 21:21:00,2009-04-12,21,6,4,2009,1,39.46666666666667
27/11/2008,03:13:00,1.172,0.0,241.92,6.2,0.0,0.0,0.0,2008-11-27 03:13:00,2008-11-27,3,3,11,2008,0,19.533333333333335
29/10/2008,21:07:00,0.676,0.064,240.17,2.8,0.0,0.0,0.0,2008-10-29 21:07:00,2008-10-29,21,2,10,2008,0,11.266666666666667
8/12/2007,07:54:00,3.96,0.222,234.63,17.0,0.0,0.0,17.0,2007-12-08 07:54:00,2007-12-08,7,5,12,2007,1,49.0
13/12/2007,13:12:00,1.488,0.0,240.95,6.2,0.0,0.0,18.0,2007-12-13 13:12:00,2007-12-13,13,3,12,2007,0,6.800000000000001
5/7/2008,13:57:00,1.33,0.084,238.64,5.6,1.0,0.0,18.0,2008-07-05 13:57:00,2008-07-05,13,5,7,2008,1,3.166666666666668
7/10/2010,12:23:00,3.928,0.44,239.06,17.2,25.0,1.0,30.0,2010-10-07 12:23:00,2010-10-07,12,3,10,2010,0,9.466666666666669
