datetime,energy_kwh,hour,day_of_week,month,is_weekend,previous_hour_energy,previous_day_same_hour_energy,rolling_24h_average
2006-12-17 17:00:00,3.406766666666667,17,6,12,1,3.3260333333333336,2.533733333333333,2.465140277777778
2006-12-17 18:00:00,3.6971,18,6,12,1,3.406766666666667,3.6321999999999997,2.4678444444444443
2006-12-17 19:00:00,2.9084,19,6,12,1,3.6971,3.4002333333333334,2.447351388888889
2006-12-17 20:00:00,3.3615,20,6,12,1,2.9084,3.2685666666666666,2.451223611111111
2006-12-17 21:00:00,3.040766666666667,21,6,12,1,3.3615,3.0564666666666667,2.4505694444444446
2006-12-17 22:00:00,1.518,22,6,12,1,3.040766666666667,2.2001333333333335,2.4221472222222222
2006-12-17 23:00:00,0.4377333333333333,23,6,12,1,1.518,2.0616,2.3544861111111115
2006-12-18 00:00:00,0.2763666666666667,0,0,12,0,0.4377333333333333,1.8824666666666665,2.2875652777777775
2006-12-18 01:00:00,0.31329999999999997,1,0,12,0,0.2763666666666667,3.3494,2.161061111111111
2006-12-18 02:00:00,0.2844666666666667,2,0,12,0,0.31329999999999997,1.5872666666666668,2.106777777777778
2006-12-18 03:00:00,0.30993333333333334,3,0,12,0,0.2844666666666667,1.6622,2.0504333333333333
2006-12-18 04:00:00,1.0263333333333333,4,0,12,0,0.30993333333333334,2.2157666666666667,2.000873611111111
2006-12-18 05:00:00,0.2935,5,0,12,0,1.0263333333333333,1.9967333333333335,1.9299055555555553
2006-12-18 06:00:00,0.61,6,0,12,0,0.2935,1.3033000000000001,1.9010180555555554
2006-12-18 07:00:00,2.4504333333333337,7,0,12,0,0.61,1.6200333333333332,1.9356180555555556
2006-12-18 08:00:00,2.082133333333333,8,0,12,0,2.4504333333333337,1.8905666666666667,1.9436
2006-12-18 09:00:00,1.6293333333333335,9,0,12,0,2.082133333333333,2.5490666666666666,1.9052777777777778
2006-12-18 10:00:00,1.3096333333333334,10,0,12,0,1.6293333333333335,3.6289000000000002,1.8086416666666667
2006-12-18 11:00:00,1.5619333333333332,11,0,12,0,1.3096333333333334,2.4709999999999996,1.770763888888889
2006-12-18 12:00:00,1.7560666666666667,12,0,12,0,1.5619333333333332,1.9158666666666666,1.7641055555555558
2006-12-18 13:00:00,1.6820666666666668,13,0,12,0,1.7560666666666667,1.6607666666666667,1.7649930555555555
2006-12-18 14:00:00,1.7330333333333334,14,0,12,0,1.6820666666666668,2.092633333333333,1.7500097222222226
2006-12-18 15:00:00,1.7842999999999998,15,0,12,0,1.7330333333333334,2.9854,1.6999638888888888
2006-12-18 16:00:00,1.9493,16,0,12,0,1.7842999999999998,3.3260333333333336,1.6426
2006-12-18 17:00:00,2.1549,17,0,12,0,1.9493,3.406766666666667,1.5904388888888887
